season,grand_prix,round_number,driver,team,grid_position,finish_position,win,qualifying_position,qualifying_gap,reached_q3,avg_finish_last_3,avg_quali_last_3,podium_rate_last_5,dnf_rate_last_5,avg_position_gain_last_3,points_last_3,team_avg_finish_season,team_avg_quali_season,driver_championship_position,has_grid_penalty,driver_circuit_avg,team_circuit_avg
2018,Bahrain Grand Prix,2,HUL,Renault,7.0,6.0,0,8.0,1.612,1,7.0,8.0,0.0,0.0,1.0,6.0,8.5,8.5,7.0,1,,
2018,Bahrain Grand Prix,2,LEC,Sauber,19.0,12.0,0,19.0,,0,13.0,18.0,0.2,0.0,5.0,0.0,16.0,17.5,15.0,0,,
2018,Bahrain Grand Prix,2,MAG,Haas F1 Team,6.0,5.0,0,7.0,1.4,1,17.0,6.0,0.0,0.0,-11.0,0.0,16.5,6.5,16.0,1,,
2018,Bahrain Grand Prix,2,OCO,Force India,8.0,10.0,0,9.0,1.916,1,12.0,15.0,0.0,0.0,3.0,0.0,11.5,14.0,17.0,1,,
2018,Bahrain Grand Prix,2,PER,Force India,12.0,16.0,0,12.0,,0,11.0,13.0,0.0,0.0,2.0,0.0,11.5,14.0,18.0,0,,
2018,Bahrain Grand Prix,2,RAI,Ferrari,2.0,18.0,0,2.0,0.143,1,3.0,2.0,0.0,0.0,-1.0,15.0,2.0,2.5,3.0,0,,
2018,Bahrain Grand Prix,2,RIC,Red Bull Racing,4.0,20.0,0,5.0,0.44,1,4.0,5.0,0.0,0.0,1.0,12.0,5.0,4.5,4.0,1,,
2018,Bahrain Grand Prix,2,SAI,Renault,10.0,11.0,0,10.0,2.028,1,10.0,9.0,0.2,0.0,-1.0,1.0,8.5,8.5,10.0,0,,
2018,Bahrain Grand Prix,2,SIR,Williams,18.0,15.0,0,18.0,,0,20.0,19.0,0.0,0.0,-1.0,0.0,17.0,16.5,19.0,0,,
2018,Bahrain Grand Prix,2,STR,Williams,20.0,14.0,0,20.0,,0,14.0,14.0,0.0,0.0,0.0,0.0,17.0,16.5,20.0,0,,
2018,Bahrain Grand Prix,2,VAN,McLaren,14.0,8.0,0,14.0,,0,9.0,12.0,0.0,0.0,3.0,2.0,7.0,11.5,9.0,0,,
2018,Bahrain Grand Prix,2,VER,Red Bull Racing,15.0,19.0,0,15.0,,0,6.0,4.0,1.0,0.0,-2.0,8.0,5.0,4.5,6.0,0,,
2018,Bahrain Grand Prix,2,VET,Ferrari,1.0,1.0,1,1.0,0.0,1,1.0,3.0,0.0,0.0,2.0,25.0,2.0,2.5,1.0,0,,
2018,Chinese Grand Prix,3,ALO,McLaren,13.0,7.0,0,13.0,,0,6.0,12.0,0.0,0.0,6.0,16.0,7.25,12.5,4.0,0,,
2018,Chinese Grand Prix,3,BOT,Mercedes,3.0,2.0,0,3.0,0.53,1,5.0,6.5,0.0,0.0,1.5,22.0,3.75,4.5,3.0,0,,
2018,Chinese Grand Prix,3,ERI,Sauber,20.0,16.0,0,20.0,,0,14.0,17.0,0.0,0.0,3.0,2.0,13.25,17.75,12.0,0,,
2018,Chinese Grand Prix,3,GAS,Toro Rosso,17.0,18.0,0,17.0,,0,11.0,13.0,0.0,0.0,2.0,12.0,13.5,13.25,7.0,0,,
2018,Chinese Grand Prix,3,GRO,Haas F1 Team,10.0,17.0,0,10.0,1.76,1,14.5,11.5,0.0,0.0,-3.0,0.0,12.75,9.0,15.0,0,,
2018,Chinese Grand Prix,3,HAM,Mercedes,4.0,4.0,0,4.0,0.58,1,2.5,2.5,0.0,0.0,0.0,33.0,3.75,4.5,2.0,0,,
2018,Chinese Grand Prix,3,HAR,Toro Rosso,15.0,20.0,0,15.0,,0,16.0,13.5,0.0,0.0,-2.5,0.0,13.5,13.25,16.0,0,,
2018,Chinese Grand Prix,3,HUL,Renault,7.0,6.0,0,7.0,1.437,1,6.5,8.0,0.0,0.0,1.5,14.0,8.5,8.75,6.0,0,,
2018,Chinese Grand Prix,3,LEC,Sauber,19.0,19.0,0,19.0,,0,12.5,18.5,0.2,0.0,6.0,0.0,13.25,17.75,17.0,0,,
2018,Chinese Grand Prix,3,MAG,Haas F1 Team,11.0,10.0,0,11.0,,0,11.0,6.5,0.0,0.0,-4.5,10.0,12.75,9.0,9.0,0,,
2018,Chinese Grand Prix,3,OCO,Force India,12.0,11.0,0,12.0,,0,11.0,12.0,0.0,0.0,1.0,1.0,12.25,12.25,13.0,0,,
2018,Chinese Grand Prix,3,PER,Force India,8.0,12.0,0,8.0,1.663,1,13.5,12.5,0.0,0.0,-1.0,0.0,12.25,12.25,18.0,0,,
2018,Chinese Grand Prix,3,RAI,Ferrari,2.0,3.0,0,2.0,0.087,1,10.5,2.0,0.0,0.0,-8.5,15.0,5.75,2.0,5.0,0,,
2018,Chinese Grand Prix,3,RIC,Red Bull Racing,6.0,1.0,1,6.0,0.853,1,12.0,5.0,0.0,0.0,-7.0,12.0,12.25,7.25,8.0,0,,
2018,Chinese Grand Prix,3,SAI,Renault,9.0,9.0,0,9.0,1.724,1,10.5,9.5,0.2,0.0,-1.0,1.0,8.5,8.75,14.0,0,,
2018,Chinese Grand Prix,3,SIR,Williams,16.0,15.0,0,16.0,,0,17.5,18.5,0.0,0.0,1.0,0.0,15.75,17.75,19.0,0,,
2018,Chinese Grand Prix,3,STR,Williams,18.0,14.0,0,18.0,,0,14.0,17.0,0.0,0.0,3.0,0.0,15.75,17.75,20.0,0,,
2018,Chinese Grand Prix,3,VAN,McLaren,14.0,13.0,0,14.0,,0,8.5,13.0,0.0,0.0,4.5,6.0,7.25,12.5,11.0,0,,
2018,Chinese Grand Prix,3,VER,Red Bull Racing,5.0,5.0,0,5.0,0.701,1,12.5,9.5,1.0,0.0,-3.0,8.0,12.25,7.25,10.0,0,,
2018,Chinese Grand Prix,3,VET,Ferrari,1.0,8.0,0,1.0,0.0,1,1.0,2.0,0.0,0.0,1.0,50.0,5.75,2.0,1.0,0,,
2018,Azerbaijan Grand Prix,4,ALO,McLaren,12.0,7.0,0,13.0,,0,6.333333333333333,12.333333333333334,0.0,0.0,6.0,22.0,8.166666666666666,12.833333333333334,6.0,1,,
2018,Azerbaijan Grand Prix,4,BOT,Mercedes,3.0,14.0,0,3.0,0.339,1,4.0,5.333333333333333,0.0,0.0,1.3333333333333333,40.0,3.5,4.166666666666667,3.0,0,,
2018,Azerbaijan Grand Prix,4,ERI,Sauber,18.0,11.0,0,18.0,,0,14.666666666666666,18.0,0.0,0.0,3.3333333333333335,2.0,14.666666666666666,18.333333333333332,13.0,0,,
2018,Azerbaijan Grand Prix,4,GAS,Toro Rosso,17.0,12.0,0,17.0,,0,13.333333333333334,14.333333333333334,0.0,0.0,1.0,12.0,15.333333333333334,14.166666666666666,9.0,0,,
2018,Azerbaijan Grand Prix,4,GRO,Haas F1 Team,20.0,15.0,0,20.0,,0,15.333333333333334,11.0,0.0,0.0,-4.333333333333333,0.0,13.0,9.5,15.0,0,,
2018,Azerbaijan Grand Prix,4,HAM,Mercedes,2.0,1.0,1,2.0,0.179,1,3.0,3.0,0.0,0.0,0.0,45.0,3.5,4.166666666666667,2.0,0,,
2018,Azerbaijan Grand Prix,4,HAR,Toro Rosso,19.0,10.0,0,19.0,,0,17.333333333333332,14.0,0.0,0.0,-3.3333333333333335,0.0,15.333333333333334,14.166666666666666,16.0,0,,
2018,Azerbaijan Grand Prix,4,HUL,Renault,14.0,18.0,0,9.0,1.568,1,6.333333333333333,7.666666666666667,0.0,0.0,1.3333333333333333,22.0,8.166666666666666,8.5,7.0,1,,
2018,Azerbaijan Grand Prix,4,LEC,Sauber,13.0,6.0,0,14.0,,0,14.666666666666666,18.666666666666668,0.2,0.0,4.0,0.0,14.666666666666666,18.333333333333332,17.0,1,,
2018,Azerbaijan Grand Prix,4,MAG,Haas F1 Team,15.0,13.0,0,15.0,,0,10.666666666666666,8.0,0.0,0.0,-2.6666666666666665,11.0,13.0,9.5,10.0,0,,
2018,Azerbaijan Grand Prix,4,OCO,Force India,7.0,19.0,0,7.0,1.025,1,11.0,12.0,0.0,0.0,1.0,1.0,12.0,11.5,14.0,0,,
2018,Azerbaijan Grand Prix,4,PER,Force India,8.0,3.0,0,8.0,1.049,1,13.0,11.0,0.0,0.0,-2.0,0.0,12.0,11.5,18.0,0,,
2018,Azerbaijan Grand Prix,4,RAI,Ferrari,6.0,2.0,0,6.0,0.992,1,8.0,2.0,0.0,0.0,-6.0,30.0,5.666666666666667,1.8333333333333333,5.0,0,,
2018,Azerbaijan Grand Prix,4,RIC,Red Bull Racing,4.0,17.0,0,4.0,0.413,1,8.333333333333334,5.333333333333333,0.0,0.0,-3.0,37.0,9.166666666666666,6.666666666666667,4.0,0,,
2018,Azerbaijan Grand Prix,4,SAI,Renault,9.0,5.0,0,10.0,1.853,1,10.0,9.333333333333334,0.2,0.0,-0.6666666666666666,3.0,8.166666666666666,8.5,12.0,1,,
2018,Azerbaijan Grand Prix,4,SIR,Williams,11.0,20.0,0,12.0,,0,16.666666666666668,17.666666666666668,0.0,0.0,1.0,0.0,15.333333333333334,17.5,19.0,1,,
2018,Azerbaijan Grand Prix,4,STR,Williams,10.0,8.0,0,11.0,,0,14.0,17.333333333333332,0.0,0.0,3.3333333333333335,0.0,15.333333333333334,17.5,20.0,1,,
2018,Azerbaijan Grand Prix,4,VAN,McLaren,16.0,9.0,0,16.0,,0,10.0,13.333333333333334,0.0,0.0,3.3333333333333335,6.0,8.166666666666666,12.833333333333334,11.0,0,,
2018,Azerbaijan Grand Prix,4,VER,Red Bull Racing,5.0,16.0,0,5.0,0.496,1,10.0,8.0,1.0,0.0,-2.0,18.0,9.166666666666666,6.666666666666667,8.0,0,,
2018,Azerbaijan Grand Prix,4,VET,Ferrari,1.0,4.0,0,1.0,0.0,1,3.3333333333333335,1.6666666666666667,0.0,0.0,-1.6666666666666667,54.0,5.666666666666667,1.8333333333333333,1.0,0,,
2018,Spanish Grand Prix,5,ALO,McLaren,8.0,8.0,0,8.0,1.548,1,7.0,13.0,0.0,0.0,6.0,18.0,8.125,13.25,6.0,0,,
2018,Spanish Grand Prix,5,BOT,Mercedes,2.0,2.0,0,2.0,0.04,1,6.0,3.0,0.0,0.0,-3.0,36.0,4.5,3.75,4.0,0,,
2018,Spanish Grand Prix,5,ERI,Sauber,17.0,13.0,0,17.0,,0,12.0,18.333333333333332,0.0,0.0,6.333333333333333,2.0,13.125,17.75,16.0,0,,
2018,Spanish Grand Prix,5,GAS,Toro Rosso,12.0,19.0,0,12.0,,0,11.333333333333334,13.333333333333334,0.0,0.0,2.0,12.0,14.25,15.125,11.0,0,,
2018,Spanish Grand Prix,5,GRO,Haas F1 Team,10.0,18.0,0,10.0,1.662,1,15.0,15.333333333333334,0.0,0.0,0.3333333333333333,0.0,13.25,11.5,19.0,0,,
2018,Spanish Grand Prix,5,HAM,Mercedes,1.0,1.0,1,1.0,0.0,1,2.6666666666666665,3.3333333333333335,0.0,0.0,0.6666666666666666,52.0,4.5,3.75,1.0,0,,
2018,Spanish Grand Prix,5,HAR,Toro Rosso,20.0,12.0,0,20.0,,0,15.666666666666666,15.0,0.0,0.0,-0.6666666666666666,1.0,14.25,15.125,17.0,0,,
2018,Spanish Grand Prix,5,HUL,Renault,16.0,20.0,0,16.0,,0,10.0,8.0,0.0,0.0,-2.0,16.0,9.0,8.75,7.0,0,,
2018,Spanish Grand Prix,5,LEC,Sauber,14.0,10.0,0,14.0,,0,12.333333333333334,17.333333333333332,0.2,0.0,5.0,8.0,13.125,17.75,13.0,0,,
2018,Spanish Grand Prix,5,MAG,Haas F1 Team,7.0,6.0,0,7.0,1.503,1,9.333333333333334,11.0,0.0,0.0,1.6666666666666667,11.0,13.25,11.5,12.0,0,,
2018,Spanish Grand Prix,5,OCO,Force India,13.0,16.0,0,13.0,,0,13.333333333333334,9.333333333333334,0.0,0.0,-4.0,1.0,11.75,10.5,18.0,0,,
2018,Spanish Grand Prix,5,PER,Force India,15.0,9.0,0,15.0,,0,10.333333333333334,9.333333333333334,0.0,0.0,-1.0,15.0,11.75,10.5,9.0,0,,
2018,Spanish Grand Prix,5,RAI,Ferrari,4.0,17.0,0,4.0,0.439,1,7.666666666666667,3.3333333333333335,0.0,0.0,-4.333333333333333,33.0,5.0,2.25,3.0,0,,
2018,Spanish Grand Prix,5,RIC,Red Bull Racing,6.0,5.0,0,6.0,0.645,1,12.666666666666666,5.0,0.0,0.0,-7.666666666666667,25.0,11.0,6.125,5.0,0,,
2018,Spanish Grand Prix,5,SAI,Renault,9.0,7.0,0,9.0,1.617,1,8.333333333333334,9.666666666666666,0.2,0.0,1.3333333333333333,12.0,9.0,8.75,10.0,0,,
2018,Spanish Grand Prix,5,SIR,Williams,19.0,14.0,0,18.0,,0,16.666666666666668,15.333333333333334,0.0,0.0,-1.3333333333333333,0.0,15.0,16.0,20.0,1,,
2018,Spanish Grand Prix,5,STR,Williams,18.0,11.0,0,19.0,,0,12.0,16.333333333333332,0.0,0.0,4.333333333333333,4.0,15.0,16.0,15.0,1,,
2018,Spanish Grand Prix,5,VAN,McLaren,11.0,15.0,0,11.0,,0,10.0,14.666666666666666,0.0,0.0,4.666666666666667,6.0,8.125,13.25,14.0,0,,
2018,Spanish Grand Prix,5,VER,Red Bull Racing,5.0,3.0,0,5.0,0.643,1,13.333333333333334,8.333333333333334,1.0,0.0,-5.0,10.0,11.0,6.125,8.0,0,,
2018,Spanish Grand Prix,5,VET,Ferrari,3.0,4.0,0,3.0,0.132,1,4.333333333333333,1.0,0.0,0.0,-3.3333333333333335,41.0,5.0,2.25,2.0,0,,
2018,Monaco Grand Prix,6,ALO,McLaren,7.0,20.0,0,7.0,1.3,1,7.333333333333333,11.333333333333334,0.0,0.0,4.0,16.0,8.8,12.5,7.0,0,,
2018,Monaco Grand Prix,6,BOT,Mercedes,5.0,5.0,0,5.0,0.631,1,6.0,2.6666666666666665,0.0,0.0,-3.3333333333333335,36.0,3.9,3.3,3.0,0,,
2018,Monaco Grand Prix,6,ERI,Sauber,16.0,11.0,0,17.0,,0,13.333333333333334,18.333333333333332,0.0,0.0,5.0,0.0,12.8,17.3,16.0,1,,
2018,Monaco Grand Prix,6,GAS,Toro Rosso,10.0,7.0,0,10.0,1.411,1,16.333333333333332,15.333333333333334,0.0,0.0,-1.0,0.0,14.5,15.3,12.0,0,,
2018,Monaco Grand Prix,6,GRO,Haas F1 Team,18.0,15.0,0,15.0,,0,16.666666666666668,13.333333333333334,0.0,0.0,-3.3333333333333335,0.0,13.0,10.9,19.0,1,,
2018,Monaco Grand Prix,6,HAM,Mercedes,3.0,3.0,0,3.0,0.422,1,2.0,2.3333333333333335,0.0,0.0,0.3333333333333333,62.0,3.9,3.3,1.0,0,,
2018,Monaco Grand Prix,6,HAR,Toro Rosso,15.0,19.0,0,16.0,,0,14.0,18.0,0.0,0.0,4.0,1.0,14.5,15.3,17.0,1,,
2018,Monaco Grand Prix,6,HUL,Renault,11.0,8.0,0,11.0,,0,14.666666666666666,10.666666666666666,0.0,0.0,-4.0,8.0,9.9,9.5,8.0,0,,
2018,Monaco Grand Prix,6,LEC,Sauber,14.0,18.0,0,14.0,,0,11.666666666666666,15.666666666666666,0.2,0.0,4.0,9.0,12.8,17.3,13.0,0,,
2018,Monaco Grand Prix,6,MAG,Haas F1 Team,19.0,13.0,0,19.0,,0,9.666666666666666,11.0,0.0,0.0,1.3333333333333333,9.0,13.0,10.9,9.0,0,,
2018,Monaco Grand Prix,6,OCO,Force India,6.0,6.0,0,6.0,1.251,1,15.333333333333334,10.666666666666666,0.0,0.0,-4.666666666666667,0.0,11.9,11.2,18.0,0,,
2018,Monaco Grand Prix,6,PER,Force India,9.0,12.0,0,9.0,1.344,1,8.0,10.333333333333334,0.0,0.0,2.3333333333333335,17.0,11.9,11.2,11.0,0,,
2018,Monaco Grand Prix,6,RAI,Ferrari,4.0,4.0,0,4.0,0.456,1,7.333333333333333,4.0,0.0,0.0,-3.3333333333333335,33.0,6.1,2.5,4.0,0,,
2018,Monaco Grand Prix,6,RIC,Red Bull Racing,1.0,1.0,1,1.0,0.0,1,7.666666666666667,5.333333333333333,0.0,0.0,-2.3333333333333335,35.0,9.6,6.0,5.0,0,,
2018,Monaco Grand Prix,6,SAI,Renault,8.0,10.0,0,8.0,1.32,1,7.0,9.333333333333334,0.2,0.0,2.3333333333333335,18.0,9.9,9.5,10.0,0,,
2018,Monaco Grand Prix,6,SIR,Williams,13.0,16.0,0,13.0,,0,16.333333333333332,15.333333333333334,0.0,0.0,-1.0,0.0,14.5,16.5,20.0,0,,
2018,Monaco Grand Prix,6,STR,Williams,17.0,17.0,0,18.0,,0,11.0,16.0,0.0,0.0,5.0,4.0,14.5,16.5,15.0,1,,
2018,Monaco Grand Prix,6,VAN,McLaren,12.0,14.0,0,12.0,,0,12.333333333333334,13.666666666666666,0.0,0.0,1.3333333333333333,2.0,8.8,12.5,14.0,0,,
2018,Monaco Grand Prix,6,VER,Red Bull Racing,20.0,9.0,0,20.0,,0,8.0,5.0,1.0,0.0,-3.0,25.0,9.6,6.0,6.0,0,,
2018,Monaco Grand Prix,6,VET,Ferrari,2.0,2.0,0,2.0,0.229,1,5.333333333333333,1.6666666666666667,0.0,0.0,-3.6666666666666665,28.0,6.1,2.5,2.0,0,,
2018,Canadian Grand Prix,7,ALO,McLaren,14.0,18.0,0,14.0,,0,11.666666666666666,9.333333333333334,0.0,0.0,-2.3333333333333335,10.0,10.166666666666666,12.0,7.0,0,,
2018,Canadian Grand Prix,7,BOT,Mercedes,2.0,2.0,0,2.0,0.093,1,7.0,3.3333333333333335,0.0,0.0,-3.6666666666666665,28.0,3.9166666666666665,3.4166666666666665,4.0,0,,
2018,Canadian Grand Prix,7,ERI,Sauber,19.0,15.0,0,19.0,,0,11.666666666666666,17.333333333333332,0.0,0.0,5.666666666666667,0.0,13.083333333333334,17.0,17.0,0,,
2018,Canadian Grand Prix,7,GAS,Toro Rosso,16.0,11.0,0,16.0,,0,12.666666666666666,13.0,0.0,0.0,0.3333333333333333,6.0,14.25,14.916666666666666,11.0,0,,
2018,Canadian Grand Prix,7,GRO,Haas F1 Team,20.0,12.0,0,20.0,,0,16.0,15.0,0.0,0.0,-1.0,0.0,13.166666666666666,11.916666666666666,19.0,0,,
2018,Canadian Grand Prix,7,HAM,Mercedes,4.0,5.0,0,4.0,0.232,1,1.6666666666666667,2.0,0.0,0.0,0.3333333333333333,65.0,3.9166666666666665,3.4166666666666665,1.0,0,,
2018,Canadian Grand Prix,7,HAR,Toro Rosso,12.0,19.0,0,12.0,,0,13.666666666666666,18.333333333333332,0.0,0.0,4.666666666666667,1.0,14.25,14.916666666666666,18.0,0,,
2018,Canadian Grand Prix,7,HUL,Renault,7.0,7.0,0,7.0,1.209,1,15.333333333333334,12.0,0.0,0.0,-3.3333333333333335,4.0,9.75,9.5,8.0,0,,
2018,Canadian Grand Prix,7,LEC,Sauber,13.0,10.0,0,13.0,,0,11.333333333333334,14.0,0.2,0.0,2.6666666666666665,9.0,13.083333333333334,17.0,13.0,0,,
2018,Canadian Grand Prix,7,MAG,Haas F1 Team,11.0,13.0,0,11.0,,0,10.666666666666666,13.666666666666666,0.0,0.0,3.0,8.0,13.166666666666666,11.916666666666666,10.0,0,,
2018,Canadian Grand Prix,7,OCO,Force India,8.0,9.0,0,8.0,1.32,1,13.666666666666666,8.666666666666666,0.0,0.0,-5.0,8.0,11.416666666666666,10.583333333333334,14.0,0,,
2018,Canadian Grand Prix,7,PER,Force India,10.0,14.0,0,10.0,1.907,1,8.0,10.666666666666666,0.0,0.0,2.6666666666666665,17.0,11.416666666666666,10.583333333333334,12.0,0,,
2018,Canadian Grand Prix,7,RAI,Ferrari,5.0,6.0,0,5.0,0.331,1,7.666666666666667,4.666666666666667,0.0,0.0,-3.0,30.0,5.583333333333333,2.5833333333333335,5.0,0,,
2018,Canadian Grand Prix,7,RIC,Red Bull Racing,6.0,4.0,0,6.0,0.352,1,7.666666666666667,3.6666666666666665,0.0,0.0,-4.0,35.0,8.833333333333334,6.75,3.0,0,,
2018,Canadian Grand Prix,7,SAI,Renault,9.0,8.0,0,9.0,1.404,1,7.333333333333333,9.0,0.2,0.0,1.6666666666666667,17.0,9.75,9.5,9.0,0,,
2018,Canadian Grand Prix,7,SIR,Williams,18.0,17.0,0,18.0,,0,16.666666666666668,14.333333333333334,0.0,0.0,-2.3333333333333335,0.0,14.833333333333334,16.333333333333332,20.0,0,,
2018,Canadian Grand Prix,7,STR,Williams,17.0,20.0,0,17.0,,0,12.0,16.0,0.0,0.0,4.0,4.0,14.833333333333334,16.333333333333332,16.0,0,,
2018,Canadian Grand Prix,7,VAN,McLaren,15.0,16.0,0,15.0,,0,12.666666666666666,13.0,0.0,0.0,0.3333333333333333,2.0,10.166666666666666,12.0,15.0,0,,
2018,Canadian Grand Prix,7,VER,Red Bull Racing,3.0,3.0,0,3.0,0.173,1,9.333333333333334,10.0,1.0,0.0,0.6666666666666666,17.0,8.833333333333334,6.75,6.0,0,,
2018,Canadian Grand Prix,7,VET,Ferrari,1.0,1.0,1,1.0,0.0,1,3.3333333333333335,2.0,0.0,0.0,-1.3333333333333333,42.0,5.583333333333333,2.5833333333333335,2.0,0,,
2018,French Grand Prix,8,ALO,McLaren,16.0,16.0,0,16.0,,0,15.333333333333334,9.666666666666666,0.0,0.0,-5.666666666666667,4.0,11.142857142857142,12.357142857142858,7.0,0,,
2018,French Grand Prix,8,BOT,Mercedes,2.0,7.0,0,2.0,0.118,1,3.0,3.0,0.0,0.0,0.0,46.0,3.857142857142857,3.357142857142857,3.0,0,,
2018,French Grand Prix,8,ERI,Sauber,15.0,13.0,0,15.0,,0,13.0,17.666666666666668,0.0,0.0,4.666666666666667,0.0,13.0,16.857142857142858,17.0,0,,
2018,French Grand Prix,8,GAS,Toro Rosso,14.0,20.0,0,14.0,,0,12.333333333333334,12.666666666666666,0.0,0.0,0.3333333333333333,6.0,14.357142857142858,14.785714285714286,11.0,0,,
2018,French Grand Prix,8,GRO,Haas F1 Team,10.0,11.0,0,10.0,,0,15.0,15.0,0.0,0.0,0.0,0.0,13.071428571428571,12.428571428571429,19.0,0,,
2018,French Grand Prix,8,HAM,Mercedes,1.0,1.0,1,1.0,0.0,1,3.0,2.6666666666666665,0.0,0.0,-0.3333333333333333,50.0,3.857142857142857,3.357142857142857,2.0,0,,
2018,French Grand Prix,8,HAR,Toro Rosso,20.0,14.0,0,17.0,,0,16.666666666666668,16.0,0.0,0.0,-0.6666666666666666,0.0,14.357142857142858,14.785714285714286,18.0,1,,
2018,French Grand Prix,8,HUL,Renault,12.0,9.0,0,12.0,,0,11.666666666666666,11.333333333333334,0.0,0.0,-0.3333333333333333,10.0,9.428571428571429,9.285714285714286,8.0,0,,
2018,French Grand Prix,8,LEC,Sauber,8.0,10.0,0,8.0,2.606,1,12.666666666666666,13.666666666666666,0.2,0.0,1.0,2.0,13.0,16.857142857142858,14.0,0,,
2018,French Grand Prix,8,MAG,Haas F1 Team,9.0,6.0,0,9.0,2.901,1,10.666666666666666,12.333333333333334,0.0,0.0,1.6666666666666667,8.0,13.071428571428571,12.428571428571429,10.0,0,,
2018,French Grand Prix,8,OCO,Force India,11.0,19.0,0,11.0,,0,10.333333333333334,9.0,0.0,0.0,-1.3333333333333333,10.0,11.428571428571429,10.357142857142858,13.0,0,,
2018,French Grand Prix,8,PER,Force India,13.0,18.0,0,13.0,,0,11.666666666666666,11.333333333333334,0.0,0.0,-0.3333333333333333,2.0,11.428571428571429,10.357142857142858,12.0,0,,
2018,French Grand Prix,8,RAI,Ferrari,6.0,3.0,0,6.0,1.028,1,9.0,4.333333333333333,0.0,0.0,-4.666666666666667,20.0,5.285714285714286,2.642857142857143,5.0,0,,
